state,x,y
Sonora,-481,319
Baja California,-734,418
Baja California Sur,-610,115
Chihuahua,-311,257
Coahuila,-81,189
Nuevo León,36,95
Tamaulipas,112,13
Sinaloa,-370,90
Durango,-235,57
Zacatecas,-61,-7
San Luis Potosí,8,-98
Aguascalientes,-431,-111
Nayarit,-199,-146
Guanajuato,-21,-179
Querétaro,412,-142
Hidalgo,93,-203
Colima,-157,-276
Michoacán,-64,-275
México,63,-249
Cdmx,-115,-443
Puebla,152,-281
Tlaxcala,316,-247
Guerrero,24,-366
Veracruz,246,-290
Morelos,58,-464
Oaxaca,194,-385
Tabasco,401,-315
Campeche,529,-301
Yucatán,599,-159
Quintana Roo,644,-231
Jalisco,-157,-204
Chiapas,419,-376
